Time,AgeGrp,ASFR,PASFR,Births
1990,15,39.355,0.808,5.395
1990,16,69.07,1.417,9.069
1990,17,103.816,2.13,13.028
1990,18,140.972,2.893,16.925
1990,19,173.061,3.551,19.879
1990,20,198.08,4.065,21.648
1990,21,214.097,4.393,22.092
1990,22,221.58,4.547,21.464
1990,23,223.7,4.59,20.282
1990,24,221.72,4.55,18.74
1990,25,218.003,4.473,17.084
1990,26,213.315,4.377,15.53
1990,27,208.642,4.281,14.246
1990,28,204.23,4.191,13.171
1990,29,200.182,4.108,12.266
1990,30,196.411,4.03,11.525
1990,31,192.438,3.949,10.927
1990,32,187.983,3.857,10.427
1990,33,182.29,3.741,9.916
1990,34,175.312,3.597,9.35
1990,35,167.596,3.439,8.756
1990,36,159.108,3.265,8.119
1990,37,149.146,3.06,7.404
1990,38,137.702,2.826,6.629
1990,39,125.453,2.574,5.851
1990,40,112.287,2.304,5.014
1990,41,97.041,1.991,3.625
1990,42,80.063,1.643,2.528
1990,43,64.045,1.314,2.029
1990,44,49.746,1.021,1.552
1990,45,37.816,0.776,1.147
1990,46,28.338,0.581,0.829
1990,47,21.029,0.432,0.592
1990,48,15.447,0.317,0.417
1990,49,9.919,0.204,0.257
1991,15,38.601,0.819,5.516
1991,16,68.189,1.446,9.379
1991,17,103.357,2.192,13.606
1991,18,141.404,3,17.773
1991,19,174.041,3.692,20.9
1991,20,198.951,4.22,22.818
1991,21,213.603,4.531,23.257
1991,22,218.644,4.638,22.421
1991,23,218.487,4.635,20.976
1991,24,214.763,4.556,19.249
1991,25,210.191,4.459,17.521
1991,26,205.519,4.36,15.844
1991,27,201.297,4.27,14.382
1991,28,197.61,4.192,13.217
1991,29,194.285,4.121,12.264
1991,30,191.098,4.054,11.462
1991,31,187.24,3.972,10.764
1991,32,182.349,3.868,10.154
1991,33,175.645,3.726,9.563
1991,34,167.254,3.548,8.937
1991,35,158.528,3.363,8.311
1991,36,149.586,3.173,7.686
1991,37,139.605,2.961,7.013
1991,38,128.571,2.727,6.29
1991,39,117.232,2.487,5.567
1991,40,105.393,2.236,4.852
1991,41,91.44,1.94,4.033
1991,42,75.611,1.604,2.789
1991,43,60.554,1.285,1.889
1991,44,47.02,0.997,1.473
1991,45,35.668,0.757,1.102
1991,46,26.601,0.564,0.8
1991,47,19.629,0.416,0.57
1991,48,14.352,0.304,0.4
1991,49,9.195,0.195,0.246
1992,15,37.5,0.821,5.514
1992,16,66.798,1.463,9.546
1992,17,101.713,2.227,13.986
1992,18,139.477,3.054,18.344
1992,19,171.451,3.754,21.515
1992,20,195.315,4.277,23.396
1992,21,209.126,4.579,23.9
1992,22,213.6,4.677,23.148
1992,23,213.196,4.668,21.733
1992,24,209.502,4.587,19.97
1992,25,205.017,4.489,18.224
1992,26,200.431,4.389,16.55
1992,27,196.257,4.297,14.97
1992,28,192.562,4.216,13.6
1992,29,189.111,4.141,12.497
1992,30,185.685,4.066,11.578
1992,31,181.54,3.975,10.757
1992,32,176.37,3.862,10.018
1992,33,169.571,3.713,9.331
1992,34,161.255,3.531,8.677
1992,35,152.529,3.34,8.056
1992,36,143.492,3.142,7.436
1992,37,133.47,2.922,6.78
1992,38,122.465,2.682,6.083
1992,39,111.156,2.434,5.379
1992,40,99.398,2.176,4.669
1992,41,85.874,1.88,3.911
1992,42,70.836,1.551,3.091
1992,43,56.71,1.242,2.069
1992,44,44.16,0.967,1.363
1992,45,33.681,0.737,1.044
1992,46,25.33,0.555,0.775
1992,47,18.866,0.413,0.561
1992,48,13.898,0.304,0.399
1992,49,8.941,0.196,0.247
1993,15,36.172,0.825,5.512
1993,16,65.061,1.483,9.704
1993,17,99.908,2.278,14.449
1993,18,137.888,3.143,19.131
1993,19,169.798,3.871,22.445
1993,20,193.184,4.404,24.239
1993,21,206.224,4.701,24.538
1993,22,209.73,4.781,23.631
1993,23,208.641,4.756,22.118
1993,24,204.63,4.665,20.251
1993,25,200.096,4.562,18.387
